chromophore,node,strength,degree_centrality,betweenness_centrality,clustering,rank,is_hub
HbO,Ch09,5.3673380010533736,0.46153846153846156,0.0,0.993535207898973,1,True
HbO,Ch13,5.361302750330399,0.46153846153846156,0.0,0.9929391699732588,2,True
HbO,Ch11,5.35096636419895,0.46153846153846156,0.0,0.9919184329532477,3,False
HbO,Ch14,5.350755352111318,0.46153846153846156,0.0,0.9918981266848393,4,False
HbO,Ch12,5.3498800277293475,0.46153846153846156,0.0,0.9918110309772837,5,False
HbO,Ch10,5.348323677130648,0.46153846153846156,0.0,0.9916575869236947,6,False
HbO,Ch08,5.344402321869794,0.46153846153846156,0.0,0.9912693790126537,7,False
HbO,Ch06,5.0862281665108435,0.46153846153846156,0.0,0.94181811237268,8,False
HbO,Ch02,5.08083142083753,0.46153846153846156,0.0,0.9412857384978545,9,False
HbO,Ch04,5.079728912012517,0.46153846153846156,0.0,0.9411755471599418,10,False
HbO,Ch07,5.07823064449699,0.46153846153846156,0.0,0.9410296626693531,11,False
HbO,Ch05,5.078052747404265,0.46153846153846156,0.0,0.9410117072907006,12,False
HbO,Ch01,5.073312675388163,0.46153846153846156,0.0,0.9405427557230256,13,False
HbO,Ch03,5.05979397039096,0.46153846153846156,0.0,0.9392049174630731,14,False
